GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
2201,985.67,2327.42,2890.11,277.23,155.57,-127.82,-2098.12,-17184.71,870.84,10876.72,-4703.96,114.08,-1027.1,-4589.88,-5616.98,,,
2211,975.08,2321.01,2836.79,296.64,142.89,-100.88,-2101.39,-17240.02,851.83,10761.07,-4610.2,115.02,-1256.99,-4495.18,-5752.17,,,
2221,973.12,2320.37,2889.79,280.1,160.8,-125.22,-2098.03,-17227.86,828.36,10754.14,-4611.42,115.26,-1244.43,-4496.16,-5740.58,,,
2231,988,2318.31,2895.98,282.28,141.05,-118.93,-2133.16,-17302.86,861.15,10838.9,-4575.14,112.64,-1229.29,-4462.5,-5691.79,,,
2241,1007.16,2285.62,2895.05,281.32,149.18,-136.4,-2071.01,-17461.57,833.17,10868.19,-4471.9,116.99,-1349.27,-4354.91,-5704.19,,,
2251,1002.95,2312.33,2886.32,286.27,148.54,-136.61,-2030.97,-17299.71,847.61,10745.89,-4547.18,118.87,-1237.38,-4428.31,-5665.69,,,
2261,1001.39,2330.48,2886.56,274.3,148.01,-117.03,-2094.1,-17203.9,860.05,10755.01,-4601.29,114.71,-1159.25,-4486.59,-5645.84,,,
2271,987.63,2348.57,2894.33,282.37,167.77,-120.03,-2051.53,-17159.76,848.76,10848.58,-4782.6,118.86,-953.3,-4663.74,-5617.04,,,
2281,930.64,2306.4,2882.71,295.32,146.44,-126.11,-2101.22,-17058.66,872.94,10856.34,-4807.86,116.4,-995.21,-4691.46,-5686.67,,,
2291,1001.87,2329.76,2919.29,289.11,155.32,-141.91,-2101.88,-17184.65,855.74,10820.59,-4672.09,113.63,-1056.76,-4558.46,-5615.22,,,
2301,980.4,2271.22,2883.66,282.02,163.63,-137.96,-2056.06,-17183.36,872.03,10836.05,-4735.43,116.11,-1088.37,-4619.32,-5707.69,,,
2311,962.57,2316.17,2901.44,283.35,146.83,-127.37,-2082.22,-17321.05,865,10842.32,-4580.2,118.76,-1212.97,-4461.43,-5674.4,,,
2321,983.64,2315.39,2910.65,290.19,130.92,-134.71,-2122.01,-17148.17,860.36,10779.43,-4645.89,114.8,-1134.31,-4531.08,-5665.39,,,
2331,1028.76,2319.47,2869.16,288.77,150.72,-137.23,-2052.19,-17233.15,855.64,10772.77,-4604.74,118.95,-1137.27,-4485.79,-5623.06,,,
2341,947.19,2329.51,2879.61,278.62,152.62,-134.53,-2095.16,-17230.02,859.43,10823.68,-4617.89,115.16,-1189.04,-4502.74,-5691.78,,,
2351,990.89,2331.27,2861.47,276.23,142.21,-121.82,-2099.77,-17208.4,856.15,10743.68,-4625.35,115.6,-1228.09,-4509.75,-5737.83,,,
2361,956.37,2268.81,2907.81,269.15,159.13,-140.93,-2064.64,-17385.64,844.33,10807.17,-4487.1,116.4,-1378.43,-4370.71,-5749.14,,,
2371,996.24,2357.75,2902.72,288.01,141.75,-152.09,-2084.11,-17238.05,855.58,10774.84,-4586.31,118.09,-1157.38,-4468.23,-5625.61,,,
2381,980.09,2321.86,2863.4,274.46,158.71,-144.59,-2077.39,-17092.06,871.24,10805.95,-4700.86,118.07,-1038.35,-4582.79,-5621.14,,,
2391,1013.8,2354.78,2904.15,285.02,136.74,-130.56,-2089.04,-17033.47,829.04,10745.2,-4747.7,119.47,-984.34,-4628.23,-5612.56,,,
2401,971.04,2323.91,2874.99,280.89,141.6,-145.23,-2096.95,-17081.02,850.97,10715.47,-4685.76,118.45,-1164.31,-4567.31,-5731.63,,,
2411,1050.57,2305.94,2889.08,292.64,147.32,-122.64,-2083.98,-16993.92,835.25,10786.91,-4781.93,120.23,-892.83,-4661.7,-5554.53,,,
2421,972.82,2315.43,2880.52,285.52,155.33,-139.69,-2079.68,-16943.08,883.65,10745.89,-4804.32,120.46,-923.3,-4683.86,-5607.16,,,
2431,987.68,2373.39,2900.75,292.09,147.29,-129.17,-2089.01,-17246.38,839.02,10705.83,-4546.93,114.58,-1218.52,-4432.34,-5650.86,,,
2441,976.89,2238.73,2864.11,274.77,170.5,-127.79,-2125.44,-17449.07,873,10875.32,-4405.2,113.85,-1428.98,-4291.35,-5720.32,,,
2451,1010.89,2310.32,2878.16,288.97,146.92,-137.28,-2056.47,-17318.81,841.22,10804.37,-4559.51,117.98,-1231.73,-4441.53,-5673.26,,,
2461,1022.28,2354.66,2886.48,293.36,163.56,-140.37,-2070.14,-17495.4,851.63,10732.93,-4357.17,115.62,-1401.02,-4241.54,-5642.56,,,
2471,975.32,2292.24,2884.32,304.49,138.06,-133.83,-2072.47,-17391.24,843.23,10877.55,-4493.5,114.47,-1282.31,-4379.03,-5661.34,,,
2481,964.29,2332.1,2892.81,287.18,158.99,-134.88,-2048.79,-17538.36,874.06,10820.97,-4375.02,114.43,-1391.63,-4260.59,-5652.22,,,
2491,972.38,2295.02,2916.4,279.69,146.67,-134.89,-2080.49,-17460.24,870.79,10783.55,-4339.09,114.94,-1411.11,-4224.15,-5635.26,,,
2501,993.63,2361.4,2879.76,290.17,150.63,-130.89,-2087.41,-17341.31,853.3,10748.04,-4487.97,113.88,-1282.67,-4374.09,-5656.76,,,
2511,935.19,2362.81,2886.95,284.63,155.97,-130.46,-2041.21,-17424.08,861.41,10802.19,-4432.88,116.73,-1306.59,-4316.15,-5622.74,,,
2521,1023.4,2305.92,2868.61,289.18,156.86,-114.24,-2081.55,-17275.75,854.26,10752.58,-4522.93,114.63,-1220.73,-4408.3,-5629.03,,,
2531,957.79,2390.01,2851.58,284.47,150.26,-119.33,-2074.83,-17303.94,856.44,10715.19,-4492.13,116.84,-1292.34,-4375.29,-5667.63,,,
2541,983.92,2382.37,2863.47,285.11,165.53,-151.76,-2075.86,-17296.95,846.72,10787.03,-4515.24,116.69,-1210.42,-4398.56,-5608.98,,,
2551,973.08,2318.09,2874.67,282.12,172.51,-128.85,-2094.61,-17241.82,857.12,10775.28,-4571.15,114.14,-1212.41,-4457.02,-5669.43,,,
2561,988.39,2304.29,2888.61,284.41,140.18,-130.01,-2084.7,-17285.03,858.18,10845.77,-4540.75,113.6,-1189.92,-4427.14,-5617.06,,,
2571,972.65,2291.75,2879.41,285.85,142.41,-118.5,-2057.53,-17280.3,846.84,10808.34,-4557.53,118.22,-1229.06,-4439.31,-5668.37,,,
2581,961.13,2315.79,2880.99,283.8,151.34,-129.96,-2111.12,-17229.16,848.47,10794.86,-4579.04,114.73,-1233.85,-4464.3,-5698.16,,,
2591,954.86,2314.62,2880.89,277.54,147.85,-120.16,-2052.36,-17400.3,852.75,10826,-4505.32,116.55,-1318.3,-4388.78,-5707.08,,,
2601,1015.96,2310.16,2880.9,293.16,159.26,-113.09,-2060.02,-17238.77,842.88,10835.53,-4628.21,117.76,-1074.04,-4510.45,-5584.49,,,
2611,1009.99,2405.97,2851.32,299.64,140.3,-127.8,-2063.4,-17339.6,854.35,10861.69,-4574.38,116.61,-1107.53,-4457.76,-5565.3,,,
2621,998.66,2331.88,2900.66,275.83,159.44,-133.76,-2087.07,-17128.07,833.06,10837.71,-4711.37,117.94,-1011.66,-4593.42,-5605.08,,,
2631,979.49,2349.54,2893.76,271.45,147.32,-107.62,-2082.68,-17359.1,841.94,10877.05,-4546.71,115.98,-1188.84,-4430.73,-5619.58,,,
2641,989.61,2383.88,2869.3,289.72,157.26,-129.24,-2109.13,-17062.46,831.95,10795.89,-4715.79,118.09,-983.23,-4597.7,-5580.92,,,
2651,983.45,2320.15,2862.46,285.07,165.13,-126.22,-2052.89,-17288.18,849.04,10846.06,-4612.68,117.84,-1155.96,-4494.84,-5650.8,,,
2661,1017.33,2302.73,2889.53,281.05,156.91,-118.95,-2083.84,-17101.82,847.99,10790.99,-4725.92,116.13,-1018.09,-4609.79,-5627.88,,,
2671,1034.23,2283.59,2894.23,287.76,147.12,-132.82,-2091.31,-17163.05,844.19,10827.63,-4688.9,117.08,-1068.43,-4571.82,-5640.25,,,
2681,955.32,2291.64,2892.31,287.11,151.2,-122.66,-2066.6,-17230.01,842.69,10858.57,-4641.16,116.77,-1140.44,-4524.39,-5664.83,,,
2691,970.28,2394.44,2928.47,290.12,148.84,-163.23,-2084.95,-17163.04,870.68,10837.03,-4733.47,115.44,-971.36,-4618.03,-5589.39,,,
2701,1004.6,2309.64,2879.87,275.61,140.54,-136.5,-2024.94,-17316.41,864.75,10744.69,-4534.7,117.9,-1258.15,-4416.8,-5674.95,,,
2711,977.56,2389.29,2903.69,291.18,155.57,-132.81,-2079.51,-17320.02,841.56,10746.37,-4514.96,117.21,-1227.13,-4397.75,-5624.89,,,
